Time (UTC),10/25/24,10/26/24,10/27/24,10/28/24,10/29/24,10/30/24,10/31/24,11/01/24,11/02/24,11/03/24,11/04/24,11/05/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,18.666666666666668,1.0,1.0,1.0,1.0,1.0,20.666666666666664
01:30,,72.66666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
02:00,,2.6666666666666665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
02:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
03:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
03:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
04:00,,1.0,1.0,1.0,1.0,18.666666666666668,1.0,1.0,1.0,1.0,2.6666666666666665,
04:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
05:00,,1.0,42.666666666666664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
05:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
06:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
06:30,,58.666666666666664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
07:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
07:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
08:00,,1.0,1.0,1.0,474.6666666666667,1.0,1.0,1.0,1.0,1.0,1.0,
08:30,,1.0,1.0,1.0,230.66666666666666,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,
09:00,,1.0,1.0,1.0,574.3333333333334,1.0,1.0,1.0,1.0,12.666666666666666,12.666666666666666,
09:30,,1.0,1.0,1.0,124.66666666666666,1.0,1.0,1.0,1.0,1.0,1.0,
10:00,,1.0,1.0,198.66666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
10:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
11:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:30,,6.666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:00,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
