date_and_time_UTC,activity_index,LFactivity_index,HFactivity_index
2025-05-27 02:50:00+00:00,0.0,0.0,0.0
2025-05-27 03:00:00+00:00,0.0,0.0,0.0
2025-05-27 03:10:00+00:00,0.0,0.0,0.0
2025-05-27 03:20:00+00:00,0.0,0.0,0.0
2025-05-27 03:30:00+00:00,0.0,0.0,0.0
2025-05-27 03:40:00+00:00,0.0,0.0,0.0
2025-05-27 03:50:00+00:00,0.0,0.0,0.0
2025-05-27 04:00:00+00:00,80.0,80.0,0.0
2025-05-27 04:10:00+00:00,0.0,0.0,0.0
2025-05-27 04:20:00+00:00,0.0,0.0,0.0
2025-05-27 04:30:00+00:00,6.666666666666667,1.6666666666666667,5.0
2025-05-27 04:40:00+00:00,0.0,0.0,0.0
2025-05-27 04:50:00+00:00,0.0,0.0,0.0
2025-05-27 05:00:00+00:00,0.0,0.0,0.0
2025-05-27 05:10:00+00:00,0.0,0.0,0.0
2025-05-27 05:20:00+00:00,0.0,0.0,0.0
2025-05-27 05:30:00+00:00,1.6666666666666667,0.0,1.6666666666666667
2025-05-27 05:40:00+00:00,0.0,0.0,0.0
2025-05-27 05:50:00+00:00,0.0,0.0,0.0
2025-05-27 06:00:00+00:00,0.0,0.0,0.0
2025-05-27 06:10:00+00:00,0.0,0.0,0.0
2025-05-27 06:20:00+00:00,0.0,0.0,0.0
2025-05-27 06:30:00+00:00,23.333333333333332,0.0,23.333333333333332
2025-05-27 06:40:00+00:00,0.0,0.0,0.0
2025-05-27 06:50:00+00:00,0.0,0.0,0.0
2025-05-27 07:00:00+00:00,8.333333333333332,0.0,8.333333333333332
2025-05-27 07:10:00+00:00,0.0,0.0,0.0
2025-05-27 07:20:00+00:00,0.0,0.0,0.0
2025-05-27 07:30:00+00:00,36.666666666666664,1.6666666666666667,36.666666666666664
2025-05-27 07:40:00+00:00,0.0,0.0,0.0
2025-05-27 07:50:00+00:00,0.0,0.0,0.0
2025-05-27 08:00:00+00:00,70.0,0.0,70.0
2025-05-27 08:10:00+00:00,0.0,0.0,0.0
2025-05-27 08:20:00+00:00,0.0,0.0,0.0
2025-05-27 08:30:00+00:00,68.33333333333333,0.0,68.33333333333333
2025-05-27 08:40:00+00:00,0.0,0.0,0.0
2025-05-27 08:50:00+00:00,0.0,0.0,0.0
2025-05-27 09:00:00+00:00,66.66666666666666,0.0,66.66666666666666
2025-05-27 09:10:00+00:00,0.0,0.0,0.0
2025-05-27 09:20:00+00:00,0.0,0.0,0.0
2025-05-27 09:30:00+00:00,53.333333333333336,0.0,53.333333333333336
2025-05-27 09:40:00+00:00,0.0,0.0,0.0
2025-05-27 09:50:00+00:00,0.0,0.0,0.0
2025-05-27 10:00:00+00:00,53.333333333333336,3.3333333333333335,50.0
2025-05-27 10:10:00+00:00,0.0,0.0,0.0
2025-05-27 10:20:00+00:00,0.0,0.0,0.0
2025-05-27 10:30:00+00:00,78.33333333333333,0.0,78.33333333333333
2025-05-27 10:40:00+00:00,0.0,0.0,0.0
2025-05-27 10:50:00+00:00,0.0,0.0,0.0
2025-05-27 11:00:00+00:00,80.0,0.0,80.0
2025-05-27 11:10:00+00:00,0.0,0.0,0.0
2025-05-27 11:20:00+00:00,0.0,0.0,0.0
2025-05-27 11:30:00+00:00,48.333333333333336,40.0,10.0
2025-05-27 11:40:00+00:00,0.0,0.0,0.0
2025-05-27 11:50:00+00:00,0.0,0.0,0.0
2025-05-27 12:00:00+00:00,0.0,0.0,0.0
2025-05-27 12:10:00+00:00,0.0,0.0,0.0
2025-05-27 12:20:00+00:00,0.0,0.0,0.0
2025-05-27 12:30:00+00:00,0.0,0.0,0.0
2025-05-27 12:40:00+00:00,0.0,0.0,0.0
2025-05-27 12:50:00+00:00,0.0,0.0,0.0
2025-05-27 13:00:00+00:00,0.0,0.0,0.0
2025-05-27 13:10:00+00:00,0.0,0.0,0.0
2025-05-27 13:20:00+00:00,0.0,0.0,0.0
2025-05-27 13:30:00+00:00,0.0,0.0,0.0
2025-05-27 13:40:00+00:00,0.0,0.0,0.0
2025-05-27 13:50:00+00:00,0.0,0.0,0.0
2025-05-27 14:00:00+00:00,0.0,0.0,0.0
2025-05-27 14:10:00+00:00,0.0,0.0,0.0
2025-05-27 14:20:00+00:00,0.0,0.0,0.0
2025-05-27 14:30:00+00:00,0.0,0.0,0.0
2025-05-27 14:40:00+00:00,0.0,0.0,0.0
2025-05-27 14:50:00+00:00,0.0,0.0,0.0
2025-05-27 15:00:00+00:00,0.0,0.0,0.0
2025-05-27 15:10:00+00:00,0.0,0.0,0.0
2025-05-27 15:20:00+00:00,0.0,0.0,0.0
2025-05-27 15:30:00+00:00,0.0,0.0,0.0
2025-05-27 15:40:00+00:00,0.0,0.0,0.0
2025-05-27 15:50:00+00:00,0.0,0.0,0.0
2025-05-27 16:00:00+00:00,0.0,0.0,0.0
2025-05-27 16:10:00+00:00,0.0,0.0,0.0
2025-05-27 16:20:00+00:00,0.0,0.0,0.0
2025-05-27 16:30:00+00:00,0.0,0.0,0.0
2025-05-27 16:40:00+00:00,0.0,0.0,0.0
2025-05-27 16:50:00+00:00,0.0,0.0,0.0
2025-05-27 17:00:00+00:00,0.0,0.0,0.0
2025-05-27 17:10:00+00:00,0.0,0.0,0.0
2025-05-27 17:20:00+00:00,0.0,0.0,0.0
2025-05-27 17:30:00+00:00,0.0,0.0,0.0
2025-05-27 17:40:00+00:00,0.0,0.0,0.0
2025-05-27 17:50:00+00:00,0.0,0.0,0.0
2025-05-27 18:00:00+00:00,0.0,0.0,0.0
2025-05-27 18:10:00+00:00,0.0,0.0,0.0
2025-05-27 18:20:00+00:00,0.0,0.0,0.0
2025-05-27 18:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-05-27 18:40:00+00:00,0.0,0.0,0.0
2025-05-27 18:50:00+00:00,0.0,0.0,0.0
2025-05-27 19:00:00+00:00,0.0,0.0,0.0
2025-05-27 19:10:00+00:00,0.0,0.0,0.0
2025-05-27 19:20:00+00:00,0.0,0.0,0.0
2025-05-27 19:30:00+00:00,0.0,0.0,0.0
2025-05-27 19:40:00+00:00,0.0,0.0,0.0
2025-05-27 19:50:00+00:00,0.0,0.0,0.0
2025-05-27 20:00:00+00:00,0.0,0.0,0.0
2025-05-27 20:10:00+00:00,0.0,0.0,0.0
2025-05-27 20:20:00+00:00,0.0,0.0,0.0
2025-05-27 20:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-05-27 20:40:00+00:00,0.0,0.0,0.0
2025-05-27 20:50:00+00:00,0.0,0.0,0.0
2025-05-27 21:00:00+00:00,0.0,0.0,0.0
2025-05-27 21:10:00+00:00,0.0,0.0,0.0
2025-05-27 21:20:00+00:00,0.0,0.0,0.0
2025-05-27 21:30:00+00:00,0.0,0.0,0.0
2025-05-27 21:40:00+00:00,0.0,0.0,0.0
2025-05-27 21:50:00+00:00,0.0,0.0,0.0
2025-05-27 22:00:00+00:00,0.0,0.0,0.0
2025-05-27 22:10:00+00:00,0.0,0.0,0.0
2025-05-27 22:20:00+00:00,0.0,0.0,0.0
2025-05-27 22:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-05-27 22:40:00+00:00,0.0,0.0,0.0
2025-05-27 22:50:00+00:00,0.0,0.0,0.0
2025-05-27 23:00:00+00:00,0.0,0.0,0.0
2025-05-27 23:10:00+00:00,0.0,0.0,0.0
2025-05-27 23:20:00+00:00,0.0,0.0,0.0
2025-05-27 23:30:00+00:00,0.0,0.0,0.0
2025-05-27 23:40:00+00:00,0.0,0.0,0.0
2025-05-27 23:50:00+00:00,0.0,0.0,0.0
2025-05-28 00:00:00+00:00,0.0,0.0,0.0
2025-05-28 00:10:00+00:00,0.0,0.0,0.0
2025-05-28 00:20:00+00:00,0.0,0.0,0.0
2025-05-28 00:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-05-28 00:40:00+00:00,0.0,0.0,0.0
2025-05-28 00:50:00+00:00,0.0,0.0,0.0
2025-05-28 01:00:00+00:00,0.0,0.0,0.0
2025-05-28 01:10:00+00:00,0.0,0.0,0.0
2025-05-28 01:20:00+00:00,0.0,0.0,0.0
2025-05-28 01:30:00+00:00,0.0,0.0,0.0
2025-05-28 01:40:00+00:00,0.0,0.0,0.0
2025-05-28 01:50:00+00:00,0.0,0.0,0.0
2025-05-28 02:00:00+00:00,0.0,0.0,0.0
2025-05-28 02:10:00+00:00,0.0,0.0,0.0
2025-05-28 02:20:00+00:00,0.0,0.0,0.0
2025-05-28 02:30:00+00:00,0.0,0.0,0.0
2025-05-28 02:40:00+00:00,0.0,0.0,0.0
2025-05-28 02:50:00+00:00,0.0,0.0,0.0
2025-05-28 03:00:00+00:00,0.0,0.0,0.0
2025-05-28 03:10:00+00:00,0.0,0.0,0.0
2025-05-28 03:20:00+00:00,0.0,0.0,0.0
2025-05-28 03:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-05-28 03:40:00+00:00,0.0,0.0,0.0
2025-05-28 03:50:00+00:00,0.0,0.0,0.0
2025-05-28 04:00:00+00:00,28.333333333333332,28.333333333333332,1.6666666666666667
2025-05-28 04:10:00+00:00,0.0,0.0,0.0
2025-05-28 04:20:00+00:00,0.0,0.0,0.0
2025-05-28 04:30:00+00:00,56.666666666666664,30.0,28.333333333333332
2025-05-28 04:40:00+00:00,0.0,0.0,0.0
2025-05-28 04:50:00+00:00,0.0,0.0,0.0
2025-05-28 05:00:00+00:00,6.666666666666667,0.0,6.666666666666667
2025-05-28 05:10:00+00:00,0.0,0.0,0.0
2025-05-28 05:20:00+00:00,0.0,0.0,0.0
2025-05-28 05:30:00+00:00,5.0,0.0,5.0
2025-05-28 05:40:00+00:00,0.0,0.0,0.0
2025-05-28 05:50:00+00:00,0.0,0.0,0.0
2025-05-28 06:00:00+00:00,40.0,21.666666666666668,18.333333333333332
2025-05-28 06:10:00+00:00,0.0,0.0,0.0
2025-05-28 06:20:00+00:00,0.0,0.0,0.0
2025-05-28 06:30:00+00:00,15.0,0.0,15.0
2025-05-28 06:40:00+00:00,0.0,0.0,0.0
2025-05-28 06:50:00+00:00,0.0,0.0,0.0
2025-05-28 07:00:00+00:00,23.333333333333332,0.0,23.333333333333332
2025-05-28 07:10:00+00:00,0.0,0.0,0.0
2025-05-28 07:20:00+00:00,0.0,0.0,0.0
2025-05-28 07:30:00+00:00,15.0,0.0,15.0
2025-05-28 07:40:00+00:00,0.0,0.0,0.0
2025-05-28 07:50:00+00:00,0.0,0.0,0.0
2025-05-28 08:00:00+00:00,18.333333333333332,0.0,18.333333333333332
2025-05-28 08:10:00+00:00,0.0,0.0,0.0
2025-05-28 08:20:00+00:00,0.0,0.0,0.0
2025-05-28 08:30:00+00:00,20.0,0.0,20.0
2025-05-28 08:40:00+00:00,0.0,0.0,0.0
2025-05-28 08:50:00+00:00,0.0,0.0,0.0
2025-05-28 09:00:00+00:00,21.666666666666668,0.0,21.666666666666668
2025-05-28 09:10:00+00:00,0.0,0.0,0.0
2025-05-28 09:20:00+00:00,0.0,0.0,0.0
2025-05-28 09:30:00+00:00,16.666666666666664,0.0,16.666666666666664
2025-05-28 09:40:00+00:00,0.0,0.0,0.0
2025-05-28 09:50:00+00:00,0.0,0.0,0.0
2025-05-28 10:00:00+00:00,55.00000000000001,0.0,55.00000000000001
2025-05-28 10:10:00+00:00,0.0,0.0,0.0
2025-05-28 10:20:00+00:00,0.0,0.0,0.0
2025-05-28 10:30:00+00:00,20.0,1.6666666666666667,18.333333333333332
2025-05-28 10:40:00+00:00,0.0,0.0,0.0
2025-05-28 10:50:00+00:00,0.0,0.0,0.0
2025-05-28 11:00:00+00:00,15.0,0.0,15.0
2025-05-28 11:10:00+00:00,0.0,0.0,0.0
2025-05-28 11:20:00+00:00,0.0,0.0,0.0
2025-05-28 11:30:00+00:00,8.333333333333332,0.0,8.333333333333332
2025-05-28 11:40:00+00:00,0.0,0.0,0.0
2025-05-28 11:50:00+00:00,0.0,0.0,0.0
2025-05-28 12:00:00+00:00,0.0,0.0,0.0
2025-05-28 12:10:00+00:00,0.0,0.0,0.0
2025-05-28 12:20:00+00:00,0.0,0.0,0.0
2025-05-28 12:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-05-28 12:40:00+00:00,0.0,0.0,0.0
2025-05-28 12:50:00+00:00,0.0,0.0,0.0
2025-05-28 13:00:00+00:00,0.0,0.0,0.0
2025-05-28 13:10:00+00:00,0.0,0.0,0.0
2025-05-28 13:20:00+00:00,0.0,0.0,0.0
2025-05-28 13:30:00+00:00,0.0,0.0,0.0
2025-05-28 13:40:00+00:00,0.0,0.0,0.0
2025-05-28 13:50:00+00:00,0.0,0.0,0.0
2025-05-28 14:00:00+00:00,0.0,0.0,0.0
2025-05-28 14:10:00+00:00,0.0,0.0,0.0
2025-05-28 14:20:00+00:00,0.0,0.0,0.0
2025-05-28 14:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-05-28 14:40:00+00:00,0.0,0.0,0.0
2025-05-28 14:50:00+00:00,0.0,0.0,0.0
2025-05-28 15:00:00+00:00,0.0,0.0,0.0
2025-05-28 15:10:00+00:00,0.0,0.0,0.0
2025-05-28 15:20:00+00:00,0.0,0.0,0.0
2025-05-28 15:30:00+00:00,0.0,0.0,0.0
2025-05-28 15:40:00+00:00,0.0,0.0,0.0
2025-05-28 15:50:00+00:00,0.0,0.0,0.0
2025-05-28 16:00:00+00:00,0.0,0.0,0.0
2025-05-28 16:10:00+00:00,0.0,0.0,0.0
2025-05-28 16:20:00+00:00,0.0,0.0,0.0
2025-05-28 16:30:00+00:00,0.0,0.0,0.0
2025-05-28 16:40:00+00:00,0.0,0.0,0.0
2025-05-28 16:50:00+00:00,0.0,0.0,0.0
2025-05-28 17:00:00+00:00,0.0,0.0,0.0
2025-05-28 17:10:00+00:00,0.0,0.0,0.0
2025-05-28 17:20:00+00:00,0.0,0.0,0.0
2025-05-28 17:30:00+00:00,0.0,0.0,0.0
2025-05-28 17:40:00+00:00,0.0,0.0,0.0
2025-05-28 17:50:00+00:00,0.0,0.0,0.0
2025-05-28 18:00:00+00:00,0.0,0.0,0.0
2025-05-28 18:10:00+00:00,0.0,0.0,0.0
2025-05-28 18:20:00+00:00,0.0,0.0,0.0
2025-05-28 18:30:00+00:00,0.0,0.0,0.0
2025-05-28 18:40:00+00:00,0.0,0.0,0.0
2025-05-28 18:50:00+00:00,0.0,0.0,0.0
2025-05-28 19:00:00+00:00,0.0,0.0,0.0
2025-05-28 19:10:00+00:00,0.0,0.0,0.0
2025-05-28 19:20:00+00:00,0.0,0.0,0.0
2025-05-28 19:30:00+00:00,0.0,0.0,0.0
2025-05-28 19:40:00+00:00,0.0,0.0,0.0
2025-05-28 19:50:00+00:00,0.0,0.0,0.0
2025-05-28 20:00:00+00:00,0.0,0.0,0.0
2025-05-28 20:10:00+00:00,0.0,0.0,0.0
2025-05-28 20:20:00+00:00,0.0,0.0,0.0
2025-05-28 20:30:00+00:00,3.3333333333333335,3.3333333333333335,0.0
2025-05-28 20:40:00+00:00,0.0,0.0,0.0
2025-05-28 20:50:00+00:00,0.0,0.0,0.0
2025-05-28 21:00:00+00:00,0.0,0.0,0.0
2025-05-28 21:10:00+00:00,0.0,0.0,0.0
2025-05-28 21:20:00+00:00,0.0,0.0,0.0
2025-05-28 21:30:00+00:00,0.0,0.0,0.0
2025-05-28 21:40:00+00:00,0.0,0.0,0.0
2025-05-28 21:50:00+00:00,0.0,0.0,0.0
2025-05-28 22:00:00+00:00,0.0,0.0,0.0
2025-05-28 22:10:00+00:00,0.0,0.0,0.0
2025-05-28 22:20:00+00:00,0.0,0.0,0.0
2025-05-28 22:30:00+00:00,0.0,0.0,0.0
2025-05-28 22:40:00+00:00,0.0,0.0,0.0
2025-05-28 22:50:00+00:00,0.0,0.0,0.0
2025-05-28 23:00:00+00:00,0.0,0.0,0.0
2025-05-28 23:10:00+00:00,0.0,0.0,0.0
2025-05-28 23:20:00+00:00,0.0,0.0,0.0
2025-05-28 23:30:00+00:00,0.0,0.0,0.0
2025-05-28 23:40:00+00:00,0.0,0.0,0.0
2025-05-28 23:50:00+00:00,0.0,0.0,0.0
2025-05-29 00:00:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-05-29 00:10:00+00:00,0.0,0.0,0.0
2025-05-29 00:20:00+00:00,0.0,0.0,0.0
2025-05-29 00:30:00+00:00,0.0,0.0,0.0
2025-05-29 00:40:00+00:00,0.0,0.0,0.0
2025-05-29 00:50:00+00:00,0.0,0.0,0.0
2025-05-29 01:00:00+00:00,0.0,0.0,0.0
2025-05-29 01:10:00+00:00,0.0,0.0,0.0
2025-05-29 01:20:00+00:00,0.0,0.0,0.0
2025-05-29 01:30:00+00:00,1.6666666666666667,1.6666666666666667,0.0
2025-05-29 01:40:00+00:00,0.0,0.0,0.0
2025-05-29 01:50:00+00:00,0.0,0.0,0.0
2025-05-29 02:00:00+00:00,0.0,0.0,0.0
2025-05-29 02:10:00+00:00,0.0,0.0,0.0
2025-05-29 02:20:00+00:00,0.0,0.0,0.0
2025-05-29 02:30:00+00:00,0.0,0.0,0.0
2025-05-29 02:40:00+00:00,0.0,0.0,0.0
2025-05-29 02:50:00+00:00,0.0,0.0,0.0
2025-05-29 03:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0
2025-05-29 03:10:00+00:00,0.0,0.0,0.0
2025-05-29 03:20:00+00:00,0.0,0.0,0.0
2025-05-29 03:30:00+00:00,0.0,0.0,0.0
2025-05-29 03:40:00+00:00,0.0,0.0,0.0
2025-05-29 03:50:00+00:00,0.0,0.0,0.0
2025-05-29 04:00:00+00:00,128.33333333333334,128.33333333333334,0.0
2025-05-29 04:10:00+00:00,0.0,0.0,0.0
2025-05-29 04:20:00+00:00,0.0,0.0,0.0
2025-05-29 04:30:00+00:00,33.33333333333333,23.333333333333332,11.666666666666666
2025-05-29 04:40:00+00:00,0.0,0.0,0.0
2025-05-29 04:50:00+00:00,0.0,0.0,0.0
2025-05-29 05:00:00+00:00,153.33333333333334,8.333333333333332,150.0
2025-05-29 05:10:00+00:00,0.0,0.0,0.0
2025-05-29 05:20:00+00:00,0.0,0.0,0.0
2025-05-29 05:30:00+00:00,201.66666666666666,26.666666666666668,193.33333333333334
2025-05-29 05:40:00+00:00,0.0,0.0,0.0
2025-05-29 05:50:00+00:00,0.0,0.0,0.0
2025-05-29 06:00:00+00:00,171.66666666666666,5.0,171.66666666666666
2025-05-29 06:10:00+00:00,0.0,0.0,0.0
2025-05-29 06:20:00+00:00,0.0,0.0,0.0
2025-05-29 06:30:00+00:00,145.0,16.666666666666664,143.33333333333334
2025-05-29 06:40:00+00:00,0.0,0.0,0.0
2025-05-29 06:50:00+00:00,0.0,0.0,0.0
2025-05-29 07:00:00+00:00,148.33333333333334,71.66666666666667,96.66666666666667
2025-05-29 07:10:00+00:00,0.0,0.0,0.0
2025-05-29 07:20:00+00:00,0.0,0.0,0.0
2025-05-29 07:30:00+00:00,114.99999999999999,20.0,103.33333333333334
2025-05-29 07:40:00+00:00,0.0,0.0,0.0
2025-05-29 07:50:00+00:00,0.0,0.0,0.0
2025-05-29 08:00:00+00:00,248.33333333333334,31.666666666666664,243.33333333333331
2025-05-29 08:10:00+00:00,0.0,0.0,0.0
2025-05-29 08:20:00+00:00,0.0,0.0,0.0
2025-05-29 08:30:00+00:00,206.66666666666669,35.0,195.0
2025-05-29 08:40:00+00:00,0.0,0.0,0.0
2025-05-29 08:50:00+00:00,0.0,0.0,0.0
2025-05-29 09:00:00+00:00,235.0,31.666666666666664,229.99999999999997
2025-05-29 09:10:00+00:00,0.0,0.0,0.0
2025-05-29 09:20:00+00:00,0.0,0.0,0.0
2025-05-29 09:30:00+00:00,275.0,25.0,270.0
2025-05-29 09:40:00+00:00,0.0,0.0,0.0
2025-05-29 09:50:00+00:00,0.0,0.0,0.0
2025-05-29 10:00:00+00:00,251.66666666666666,5.0,248.33333333333334
2025-05-29 10:10:00+00:00,0.0,0.0,0.0
2025-05-29 10:20:00+00:00,0.0,0.0,0.0
2025-05-29 10:30:00+00:00,155.0,3.3333333333333335,155.0
2025-05-29 10:40:00+00:00,0.0,0.0,0.0
2025-05-29 10:50:00+00:00,0.0,0.0,0.0
2025-05-29 11:00:00+00:00,71.66666666666667,3.3333333333333335,68.33333333333333
2025-05-29 11:10:00+00:00,0.0,0.0,0.0
2025-05-29 11:20:00+00:00,0.0,0.0,0.0
2025-05-29 11:30:00+00:00,31.666666666666664,20.0,11.666666666666666
2025-05-29 11:40:00+00:00,0.0,0.0,0.0
2025-05-29 11:50:00+00:00,0.0,0.0,0.0
2025-05-29 12:00:00+00:00,0.0,0.0,0.0
2025-05-29 12:10:00+00:00,0.0,0.0,0.0
2025-05-29 12:20:00+00:00,0.0,0.0,0.0
2025-05-29 12:30:00+00:00,0.0,0.0,0.0
2025-05-29 12:40:00+00:00,0.0,0.0,0.0
2025-05-29 12:50:00+00:00,0.0,0.0,0.0
2025-05-29 13:00:00+00:00,0.0,0.0,0.0
2025-05-29 13:10:00+00:00,0.0,0.0,0.0
2025-05-29 13:20:00+00:00,0.0,0.0,0.0
2025-05-29 13:30:00+00:00,0.0,0.0,0.0
2025-05-29 13:40:00+00:00,0.0,0.0,0.0
2025-05-29 13:50:00+00:00,0.0,0.0,0.0
2025-05-29 14:00:00+00:00,0.0,0.0,0.0
2025-05-29 14:10:00+00:00,0.0,0.0,0.0
2025-05-29 14:20:00+00:00,0.0,0.0,0.0
2025-05-29 14:30:00+00:00,0.0,0.0,0.0
2025-05-29 14:40:00+00:00,0.0,0.0,0.0
2025-05-29 14:50:00+00:00,0.0,0.0,0.0
2025-05-29 15:00:00+00:00,0.0,0.0,0.0
2025-05-29 15:10:00+00:00,0.0,0.0,0.0
2025-05-29 15:20:00+00:00,0.0,0.0,0.0
2025-05-29 15:30:00+00:00,0.0,0.0,0.0
2025-05-29 15:40:00+00:00,0.0,0.0,0.0
2025-05-29 15:50:00+00:00,0.0,0.0,0.0
2025-05-29 16:00:00+00:00,0.0,0.0,0.0
2025-05-29 16:10:00+00:00,0.0,0.0,0.0
2025-05-29 16:20:00+00:00,0.0,0.0,0.0
2025-05-29 16:30:00+00:00,0.0,0.0,0.0
2025-05-29 16:40:00+00:00,0.0,0.0,0.0
2025-05-29 16:50:00+00:00,0.0,0.0,0.0
2025-05-29 17:00:00+00:00,0.0,0.0,0.0
2025-05-29 17:10:00+00:00,0.0,0.0,0.0
2025-05-29 17:20:00+00:00,0.0,0.0,0.0
2025-05-29 17:30:00+00:00,0.0,0.0,0.0
2025-05-29 17:40:00+00:00,0.0,0.0,0.0
2025-05-29 17:50:00+00:00,0.0,0.0,0.0
2025-05-29 18:00:00+00:00,0.0,0.0,0.0
2025-05-29 18:10:00+00:00,0.0,0.0,0.0
2025-05-29 18:20:00+00:00,0.0,0.0,0.0
2025-05-29 18:30:00+00:00,0.0,0.0,0.0
2025-05-29 18:40:00+00:00,0.0,0.0,0.0
2025-05-29 18:50:00+00:00,0.0,0.0,0.0
2025-05-29 19:00:00+00:00,0.0,0.0,0.0
2025-05-29 19:10:00+00:00,0.0,0.0,0.0
2025-05-29 19:20:00+00:00,0.0,0.0,0.0
2025-05-29 19:30:00+00:00,0.0,0.0,0.0
2025-05-29 19:40:00+00:00,0.0,0.0,0.0
2025-05-29 19:50:00+00:00,0.0,0.0,0.0
2025-05-29 20:00:00+00:00,0.0,0.0,0.0
2025-05-29 20:10:00+00:00,0.0,0.0,0.0
2025-05-29 20:20:00+00:00,0.0,0.0,0.0
2025-05-29 20:30:00+00:00,0.0,0.0,0.0
2025-05-29 20:40:00+00:00,0.0,0.0,0.0
2025-05-29 20:50:00+00:00,0.0,0.0,0.0
2025-05-29 21:00:00+00:00,0.0,0.0,0.0
2025-05-29 21:10:00+00:00,0.0,0.0,0.0
2025-05-29 21:20:00+00:00,0.0,0.0,0.0
2025-05-29 21:30:00+00:00,0.0,0.0,0.0
2025-05-29 21:40:00+00:00,0.0,0.0,0.0
2025-05-29 21:50:00+00:00,0.0,0.0,0.0
2025-05-29 22:00:00+00:00,0.0,0.0,0.0
2025-05-29 22:10:00+00:00,0.0,0.0,0.0
2025-05-29 22:20:00+00:00,0.0,0.0,0.0
2025-05-29 22:30:00+00:00,0.0,0.0,0.0
2025-05-29 22:40:00+00:00,0.0,0.0,0.0
2025-05-29 22:50:00+00:00,0.0,0.0,0.0
2025-05-29 23:00:00+00:00,0.0,0.0,0.0
2025-05-29 23:10:00+00:00,0.0,0.0,0.0
2025-05-29 23:20:00+00:00,0.0,0.0,0.0
2025-05-29 23:30:00+00:00,0.0,0.0,0.0
2025-05-29 23:40:00+00:00,0.0,0.0,0.0
2025-05-29 23:50:00+00:00,0.0,0.0,0.0
2025-05-30 00:00:00+00:00,0.0,0.0,0.0
2025-05-30 00:10:00+00:00,0.0,0.0,0.0
2025-05-30 00:20:00+00:00,0.0,0.0,0.0
2025-05-30 00:30:00+00:00,0.0,0.0,0.0
2025-05-30 00:40:00+00:00,0.0,0.0,0.0
2025-05-30 00:50:00+00:00,0.0,0.0,0.0
2025-05-30 01:00:00+00:00,0.0,0.0,0.0
2025-05-30 01:10:00+00:00,0.0,0.0,0.0
2025-05-30 01:20:00+00:00,0.0,0.0,0.0
2025-05-30 01:30:00+00:00,0.0,0.0,0.0
2025-05-30 01:40:00+00:00,0.0,0.0,0.0
2025-05-30 01:50:00+00:00,0.0,0.0,0.0
2025-05-30 02:00:00+00:00,0.0,0.0,0.0
2025-05-30 02:10:00+00:00,0.0,0.0,0.0
2025-05-30 02:20:00+00:00,0.0,0.0,0.0
2025-05-30 02:30:00+00:00,0.0,0.0,0.0
2025-05-30 02:40:00+00:00,0.0,0.0,0.0
2025-05-30 02:50:00+00:00,0.0,0.0,0.0
2025-05-30 03:00:00+00:00,0.0,0.0,0.0
2025-05-30 03:10:00+00:00,0.0,0.0,0.0
2025-05-30 03:20:00+00:00,0.0,0.0,0.0
2025-05-30 03:30:00+00:00,0.0,0.0,0.0
2025-05-30 03:40:00+00:00,0.0,0.0,0.0
2025-05-30 03:50:00+00:00,0.0,0.0,0.0
2025-05-30 04:00:00+00:00,0.0,0.0,0.0
2025-05-30 04:10:00+00:00,0.0,0.0,0.0
2025-05-30 04:20:00+00:00,0.0,0.0,0.0
2025-05-30 04:30:00+00:00,53.333333333333336,41.66666666666667,11.666666666666666
2025-05-30 04:40:00+00:00,0.0,0.0,0.0
2025-05-30 04:50:00+00:00,0.0,0.0,0.0
2025-05-30 05:00:00+00:00,3.3333333333333335,0.0,3.3333333333333335
2025-05-30 05:10:00+00:00,0.0,0.0,0.0
2025-05-30 05:20:00+00:00,0.0,0.0,0.0
2025-05-30 05:30:00+00:00,10.0,0.0,10.0
2025-05-30 05:40:00+00:00,0.0,0.0,0.0
2025-05-30 05:50:00+00:00,0.0,0.0,0.0
2025-05-30 06:00:00+00:00,13.333333333333334,0.0,13.333333333333334
2025-05-30 06:10:00+00:00,0.0,0.0,0.0
2025-05-30 06:20:00+00:00,0.0,0.0,0.0
2025-05-30 06:30:00+00:00,25.0,0.0,25.0
2025-05-30 06:40:00+00:00,0.0,0.0,0.0
2025-05-30 06:50:00+00:00,0.0,0.0,0.0
2025-05-30 07:00:00+00:00,3.3333333333333335,0.0,3.3333333333333335
2025-05-30 07:10:00+00:00,0.0,0.0,0.0
2025-05-30 07:20:00+00:00,0.0,0.0,0.0
2025-05-30 07:30:00+00:00,11.666666666666666,0.0,11.666666666666666
2025-05-30 07:40:00+00:00,0.0,0.0,0.0
2025-05-30 07:50:00+00:00,0.0,0.0,0.0
2025-05-30 08:00:00+00:00,33.33333333333333,0.0,33.33333333333333
