start_time,end_time,low_freq,high_freq,event,detection_confidence,input_file
1.6115,1.6281,22890.0,26357.0,Echolocation,0.559,20220928_030000.WAV
3.2215,3.2406,22031.0,27048.0,Echolocation,0.571,20220928_030000.WAV
3.7105,3.7276,22890.0,26869.0,Echolocation,0.532,20220928_030000.WAV
3.9615,3.9779,22031.0,27039.0,Echolocation,0.504,20220928_030000.WAV
7.3955,7.4104,22890.0,27467.0,Echolocation,0.57,20220928_030000.WAV
7.5555,7.5701,23750.0,28224.0,Echolocation,0.542,20220928_030000.WAV
9.4935,9.5123,22031.0,27014.0,Echolocation,0.51,20220928_030000.WAV
9.8845,9.9028,22031.0,25678.0,Echolocation,0.601,20220928_030000.WAV
12.0935,12.1129,22031.0,25990.0,Echolocation,0.593,20220928_030000.WAV
12.9445,12.9626,22031.0,25224.0,Echolocation,0.62,20220928_030000.WAV
13.2305,13.2495,22031.0,25884.0,Echolocation,0.619,20220928_030000.WAV
13.5415,13.5598,22031.0,25590.0,Echolocation,0.654,20220928_030000.WAV
13.8155,13.834,22031.0,25548.0,Echolocation,0.628,20220928_030000.WAV
14.1155,14.1344,22031.0,25863.0,Echolocation,0.612,20220928_030000.WAV
14.4055,14.4251,22031.0,25696.0,Echolocation,0.605,20220928_030000.WAV
14.7265,14.7459,22031.0,26965.0,Echolocation,0.574,20220928_030000.WAV
14.8765,14.8926,22890.0,27779.0,Echolocation,0.618,20220928_030000.WAV
15.1555,15.1745,22031.0,25634.0,Echolocation,0.524,20220928_030000.WAV
15.3005,15.3163,23750.0,26954.0,Echolocation,0.623,20220928_030000.WAV
15.4435,15.4597,23750.0,26304.0,Echolocation,0.566,20220928_030000.WAV
15.8285,15.8426,22031.0,29496.0,Echolocation,0.624,20220928_030000.WAV
15.9235,15.9339,23750.0,30303.0,Echolocation,0.509,20220928_030000.WAV
16.0085,16.0178,24609.0,30901.0,Echolocation,0.507,20220928_030000.WAV
16.6925,16.7051,22890.0,28766.0,Echolocation,0.545,20220928_030000.WAV
17.0525,17.0658,22890.0,30912.0,Echolocation,0.585,20220928_030000.WAV
17.2535,17.2681,22890.0,30428.0,Echolocation,0.652,20220928_030000.WAV
17.9845,17.9987,25468.0,30394.0,Echolocation,0.581,20220928_030000.WAV
18.2455,18.2659,25468.0,28637.0,Echolocation,0.614,20220928_030000.WAV
18.6545,18.6673,22890.0,28128.0,Echolocation,0.636,20220928_030000.WAV
18.7945,18.81,23750.0,29941.0,Echolocation,0.56,20220928_030000.WAV
18.9605,18.9781,27187.0,31074.0,Echolocation,0.508,20220928_030000.WAV
19.0645,19.0797,23750.0,28278.0,Echolocation,0.584,20220928_030000.WAV
19.3315,19.3478,22890.0,26783.0,Echolocation,0.517,20220928_030000.WAV
19.4675,19.4813,23750.0,30473.0,Echolocation,0.619,20220928_030000.WAV
19.5455,19.5629,27187.0,32151.0,Echolocation,0.516,20220928_030000.WAV
19.6085,19.6242,22890.0,28772.0,Echolocation,0.589,20220928_030000.WAV
19.7725,19.7903,22890.0,26580.0,Echolocation,0.539,20220928_030000.WAV
19.8485,19.8626,27187.0,29749.0,Echolocation,0.538,20220928_030000.WAV
20.0405,20.0567,22890.0,27934.0,Echolocation,0.56,20220928_030000.WAV
20.2045,20.2214,22890.0,28148.0,Echolocation,0.511,20220928_030000.WAV
20.4935,20.5097,22890.0,26940.0,Echolocation,0.63,20220928_030000.WAV
20.6735,20.6904,22890.0,26738.0,Echolocation,0.521,20220928_030000.WAV
