date_and_time_UTC,num_of_detections,HF2_num_of_detections,HF1_num_of_detections,LF1_num_of_detections
2023-09-23 14:30:00+00:00,1,1,1,1
2023-09-24 00:00:00+00:00,1,1,1,1
2023-09-24 00:30:00+00:00,1,1,1,1
2023-09-24 01:00:00+00:00,1,1,1,1
2023-09-24 01:30:00+00:00,1,1,1,1
2023-09-24 02:00:00+00:00,1,1,1,1
2023-09-24 02:30:00+00:00,2,1,1,2
2023-09-24 03:00:00+00:00,5,5,1,1
2023-09-24 03:30:00+00:00,1,1,1,1
2023-09-24 04:00:00+00:00,4,3,1,1
2023-09-24 04:30:00+00:00,1,1,1,1
2023-09-24 05:00:00+00:00,8,6,2,1
2023-09-24 05:30:00+00:00,1,1,1,1
2023-09-24 06:00:00+00:00,1,1,1,1
2023-09-24 06:30:00+00:00,1,1,1,1
2023-09-24 07:00:00+00:00,1,1,1,1
2023-09-24 07:30:00+00:00,1,1,1,1
2023-09-24 08:00:00+00:00,1,1,1,1
2023-09-24 08:30:00+00:00,1,1,1,1
2023-09-24 09:00:00+00:00,1,1,1,1
2023-09-24 09:30:00+00:00,1,1,1,1
2023-09-24 10:00:00+00:00,1,1,1,1
2023-09-24 10:30:00+00:00,1,1,1,1
2023-09-24 11:00:00+00:00,1,1,1,1
2023-09-24 11:30:00+00:00,1,1,1,1
2023-09-24 12:00:00+00:00,1,1,1,1
2023-09-24 12:30:00+00:00,1,1,1,1
2023-09-24 13:00:00+00:00,1,1,1,1
2023-09-24 13:30:00+00:00,1,1,1,1
2023-09-24 14:00:00+00:00,1,1,1,1
2023-09-24 14:30:00+00:00,1,1,1,1
2023-09-25 00:00:00+00:00,1,1,1,1
2023-09-25 00:30:00+00:00,1,1,1,1
2023-09-25 01:00:00+00:00,1,1,1,1
2023-09-25 01:30:00+00:00,1,1,1,1
2023-09-25 02:00:00+00:00,1,1,1,1
2023-09-25 02:30:00+00:00,1,1,1,1
2023-09-25 03:00:00+00:00,1,1,1,1
2023-09-25 03:30:00+00:00,1,1,1,1
2023-09-25 04:00:00+00:00,1,1,1,1
2023-09-25 04:30:00+00:00,1,1,1,1
2023-09-25 05:00:00+00:00,1,1,1,1
2023-09-25 05:30:00+00:00,1,1,1,1
2023-09-25 06:00:00+00:00,1,1,1,1
2023-09-25 06:30:00+00:00,1,1,1,1
2023-09-25 07:00:00+00:00,1,1,1,1
2023-09-25 07:30:00+00:00,1,1,1,1
2023-09-25 08:00:00+00:00,1,1,1,1
2023-09-25 08:30:00+00:00,1,1,1,1
2023-09-25 09:00:00+00:00,1,1,1,1
2023-09-25 09:30:00+00:00,1,1,1,1
2023-09-25 10:00:00+00:00,1,1,1,1
2023-09-25 10:30:00+00:00,1,1,1,1
2023-09-25 11:00:00+00:00,1,1,1,1
2023-09-25 11:30:00+00:00,1,1,1,1
2023-09-25 12:00:00+00:00,1,1,1,1
2023-09-25 12:30:00+00:00,1,1,1,1
2023-09-25 13:00:00+00:00,1,1,1,1
2023-09-25 13:30:00+00:00,1,1,1,1
2023-09-25 14:00:00+00:00,1,1,1,1
2023-09-25 14:30:00+00:00,1,1,1,1
2023-09-26 00:00:00+00:00,1,1,1,1
2023-09-26 00:30:00+00:00,1,1,1,1
2023-09-26 01:00:00+00:00,1,1,1,1
2023-09-26 01:30:00+00:00,1,1,1,1
2023-09-26 02:00:00+00:00,1,1,1,1
2023-09-26 02:30:00+00:00,1,1,1,1
2023-09-26 03:00:00+00:00,1,1,1,1
2023-09-26 03:30:00+00:00,1,1,1,1
2023-09-26 04:00:00+00:00,1,1,1,1
2023-09-26 04:30:00+00:00,1,1,1,1
2023-09-26 05:00:00+00:00,1,1,1,1
2023-09-26 05:30:00+00:00,1,1,1,1
2023-09-26 06:00:00+00:00,1,1,1,1
2023-09-26 06:30:00+00:00,1,1,1,1
2023-09-26 07:00:00+00:00,1,1,1,1
2023-09-26 07:30:00+00:00,1,1,1,1
2023-09-26 08:00:00+00:00,1,1,1,1
2023-09-26 08:30:00+00:00,1,1,1,1
2023-09-26 09:00:00+00:00,1,1,1,1
2023-09-26 09:30:00+00:00,1,1,1,1
2023-09-26 10:00:00+00:00,1,1,1,1
2023-09-26 10:30:00+00:00,1,1,1,1
2023-09-26 11:00:00+00:00,1,1,1,1
2023-09-26 11:30:00+00:00,1,1,1,1
2023-09-26 12:00:00+00:00,1,1,1,1
2023-09-26 12:30:00+00:00,1,1,1,1
2023-09-26 13:00:00+00:00,1,1,1,1
2023-09-26 13:30:00+00:00,1,1,1,1
2023-09-26 14:00:00+00:00,1,1,1,1
2023-09-26 14:30:00+00:00,1,1,1,1
2023-09-27 00:00:00+00:00,1,1,1,1
2023-09-27 00:30:00+00:00,1,1,1,1
2023-09-27 01:00:00+00:00,1,1,1,1
2023-09-27 01:30:00+00:00,1,1,1,1
2023-09-27 02:00:00+00:00,1,1,1,1
