Time (UTC),08/05/24,08/06/24,08/07/24,08/08/24,08/09/24,08/10/24,08/11/24,08/12/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
04:00,,4.666666666666667,62.666666666666664,48.333333333333336,162.33333333333334,1.0,64.33333333333333,88.0
04:30,,1.0,474.6666666666667,72.66666666666667,1.0,1.0,10.333333333333332,4.666666666666667
05:00,,30.666666666666664,1.0,2.666666666666667,1.0,1.0,1.0,1.0
05:30,,1.0,2.6666666666666665,1.0,1.0,1.0,1.0,1.0
06:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
06:30,,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,2.6666666666666665
07:00,,1.0,28.333333333333332,2.6666666666666665,62.666666666666664,16.666666666666668,6.666666666666666,32.333333333333336
07:30,,1.0,14.666666666666666,1.0,2.666666666666667,1.0,4.666666666666667,118.66666666666666
08:00,,4.666666666666667,1.0,1.0,6.666666666666667,1.0,1.0,2.6666666666666665
08:30,,2.666666666666667,2.666666666666667,1.0,1.0,1.0,10.666666666666666,6.666666666666667
09:00,,4.333333333333333,1.0,1.0,1.0,1.0,20.333333333333336,1.0
09:30,,2.6666666666666665,1.0,2.6666666666666665,1.0,1.0,6.666666666666667,1.0
10:00,,20.0,4.666666666666667,1.0,1.0,6.666666666666666,46.0,130.66666666666666
10:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11:00,,2.666666666666667,1.0,1.0,1.0,1.0,1.0,1.0
11:30,,1.0,1.0,1.0,1.0,18.666666666666668,1.0,1.0
12:00,,1.0,2.6666666666666665,1.0,1.0,1.0,1.0,1.0
12:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20:30,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
