Time (UTC),03/10/25,03/11/25,03/12/25,03/13/25,03/14/25,03/15/25,03/16/25,03/17/25
00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:30,,12.22222222222222,12.22222222222222,2.2222222222222223,0.0,12.777777777777779,,1.111111111111111
03:00,,0.0,15.0,0.5555555555555556,1.6666666666666667,0.0,,2.7777777777777772
03:30,,6.11111111111111,5.5555555555555545,0.0,0.0,1.6666666666666667,,1.111111111111111
04:00,,11.111111111111109,0.5555555555555556,0.0,0.0,0.5555555555555556,,2.7777777777777772
04:30,,7.777777777777776,0.0,0.0,0.0,0.0,,12.22222222222222
05:00,,8.333333333333334,11.666666666666666,0.0,0.0,0.0,,1.6666666666666667
05:30,,9.444444444444443,3.3333333333333335,0.0,1.111111111111111,0.0,,1.111111111111111
06:00,,6.11111111111111,3.3333333333333335,0.0,0.0,0.0,,1.111111111111111
06:30,,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0
07:00,,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0
07:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:30,,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0
09:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:30,,0.0,1.111111111111111,0.0,0.0,0.0,,0.0
10:00,,0.5555555555555556,0.0,0.0,0.0,0.0,,0.0
10:30,,0.0,0.0,0.0,0.0,0.0,,0.0
11:00,,0.0,0.0,0.0,0.0,0.0,,0.0
11:30,,0.0,0.0,0.0,0.0,0.0,,0.0
12:00,,0.0,0.0,0.0,0.0,0.0,,0.0
12:30,,0.5555555555555556,0.0,0.0,0.0,0.0,,0.0
13:00,,0.0,0.0,0.0,0.0,0.0,,0.0
13:30,,0.0,0.0,0.0,0.5555555555555556,0.0,,0.0
14:00,,0.0,0.0,0.0,0.0,0.0,,0.0
14:30,,0.0,0.0,0.0,0.0,0.0,,0.0
15:00,,0.5555555555555556,0.0,0.0,0.0,0.0,,0.0
15:30,,0.0,0.0,0.0,0.0,0.0,,0.0
16:00,,0.0,0.0,0.0,0.0,0.0,,0.0
16:30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
17:00,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,,0.0
17:30,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,,0.0
18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:30,0.0,0.0,0.0,0.0,0.0,0.0,,
19:00,0.0,0.0,0.0,0.0,0.0,0.0,,
19:30,0.0,0.0,0.0,0.0,0.0,0.0,,
20:00,0.0,0.0,0.0,0.0,0.0,0.0,,
20:30,0.0,0.0,0.0,0.0,0.0,0.0,,
21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:30,0.5555555555555556,0.0,0.0,0.0,0.5555555555555556,0.0,,
22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:30,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
