Time (UTC),05/09/25,05/10/25,05/11/25
00:00,,0.06666666666666667,0.13333333333333333
00:30,,0.06666666666666667,0.0
01:00,,0.0,0.0
01:30,,0.7333333333333334,0.13333333333333333
02:00,,0.26666666666666666,0.19999999999999998
02:30,,0.06666666666666667,1.4666666666666668
03:00,,0.06666666666666667,0.13333333333333333
03:30,,0.0,0.06666666666666667
04:00,,4.6000000000000005,1.6666666666666667
04:30,,11.133333333333333,4.133333333333334
05:00,,9.200000000000001,0.0
05:30,,7.533333333333334,2.466666666666667
06:00,,4.3999999999999995,36.2
06:30,,7.333333333333333,12.4
07:00,,6.0,0.5333333333333333
07:30,,4.666666666666667,0.13333333333333333
08:00,,24.066666666666666,0.6
08:30,,5.866666666666666,10.866666666666667
09:00,,1.4000000000000001,2.733333333333333
09:30,,0.6,0.13333333333333333
10:00,,0.06666666666666667,3.266666666666667
10:30,,0.0,8.533333333333333
11:00,,0.06666666666666667,0.0
11:30,,0.6666666666666666,1.5999999999999999
12:00,,0.0,0.0
12:30,,0.06666666666666667,0.0
13:00,,0.06666666666666667,0.0
13:30,,0.0,0.0
14:00,,0.0,0.06666666666666667
14:30,,0.0,0.06666666666666667
15:00,,0.06666666666666667,0.13333333333333333
15:30,,0.0,0.3333333333333333
16:00,,0.0,0.06666666666666667
16:30,,0.06666666666666667,0.13333333333333333
17:00,,0.06666666666666667,0.06666666666666667
17:30,,0.06666666666666667,0.06666666666666667
18:00,,0.0,
18:30,,0.0,
19:00,,0.0,
19:30,,0.0,
20:00,,0.0,
20:30,0.2,0.19999999999999998,
21:00,0.5333333333333333,0.06666666666666667,
21:30,0.26666666666666666,0.0,
22:00,0.13333333333333333,0.26666666666666666,
22:30,0.06666666666666667,0.0,
23:00,0.20000000000000004,0.0,
23:30,0.06666666666666667,0.0,
