Time (UTC),06/27/24,06/28/24,06/29/24,06/30/24,07/01/24,07/02/24
00:00,,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0
02:30,,1.0,1.0,1.0,1.0,1.0
03:00,,1.0,1.0,1.0,1.0,1.0
03:30,,1.0,1.0,1.0,1.0,1.0
04:00,,1.0,1.0,1.0,1.0,1.0
04:30,,174.33333333333334,1.0,1.0,1.0,24.666666666666668
05:00,,358.0,4.666666666666667,6.666666666666667,6.666666666666667,32.66666666666667
05:30,,602.0,24.333333333333332,1.0,1.0,12.666666666666666
06:00,,304.3333333333333,38.666666666666664,1.0,1.0,40.66666666666667
06:30,,4.666666666666667,1.0,1.0,1.0,4.666666666666667
07:00,,2.666666666666667,1.0,1.0,1.0,38.66666666666667
07:30,,1.0,1.0,2.666666666666667,1.0,1.0
08:00,,1.0,1.0,66.66666666666667,1.0,2.6666666666666665
08:30,,30.666666666666668,1.0,1.0,1.0,18.666666666666668
09:00,,1.0,1.0,1.0,1.0,1.0
09:30,,1.0,1.0,8.666666666666666,1.0,2.6666666666666665
10:00,,4.666666666666667,1.0,10.666666666666666,1.0,4.666666666666667
10:30,,1.0,1.0,1.0,1.0,1.0
11:00,,1.0,4.666666666666667,1.0,1.0,1.0
11:30,,1.0,1.0,1.0,2.6666666666666665,1.0
12:00,,1.0,1.0,1.0,1.0,1.0
12:30,,1.0,1.0,1.0,1.0,1.0
13:00,,1.0,1.0,1.0,1.0,1.0
13:30,,1.0,1.0,1.0,1.0,1.0
14:00,,1.0,1.0,1.0,1.0,1.0
14:30,,1.0,1.0,1.0,1.0,1.0
15:00,,1.0,1.0,1.0,1.0,1.0
15:30,,1.0,1.0,1.0,1.0,1.0
16:00,,1.0,1.0,1.0,1.0,1.0
16:30,,1.0,1.0,1.0,1.0,1.0
17:00,,1.0,1.0,1.0,1.0,1.0
17:30,,1.0,1.0,1.0,1.0,1.0
18:00,,1.0,1.0,1.0,1.0,1.0
18:30,,1.0,1.0,1.0,1.0,1.0
19:00,1.0,1.0,1.0,1.0,1.0,1.0
19:30,1.0,1.0,1.0,1.0,1.0,1.0
20:00,1.0,1.0,1.0,1.0,1.0,1.0
20:30,1.0,1.0,1.0,1.0,1.0,1.0
21:00,1.0,1.0,1.0,1.0,1.0,1.0
21:30,1.0,1.0,1.0,1.0,1.0,1.0
22:00,1.0,1.0,1.0,1.0,1.0,0.0
22:30,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,
