Time (UTC),07/29/24,07/30/24,07/31/24,08/01/24,08/02/24
00:00,,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0
02:30,,1.0,1.0,1.0,1.0
03:00,,1.0,1.0,1.0,1.0
03:30,,1.0,1.0,1.0,1.0
04:00,,1.0,1.0,1.0,1.0
04:30,,0.3333333333333333,26.666666666666668,20.666666666666664,20.666666666666668
05:00,,0.0,66.33333333333333,8.333333333333334,2.6666666666666665
05:30,,0.0,28.333333333333332,2.6666666666666665,1.0
06:00,,0.0,58.333333333333336,124.33333333333333,32.666666666666664
06:30,,0.0,16.333333333333332,86.33333333333334,16.666666666666668
07:00,,0.0,0.0,4.666666666666667,14.666666666666666
07:30,,0.0,0.0,1.0,1.0
08:00,,0.0,0.0,1.0,1.0
08:30,,0.0,0.0,1.0,12.666666666666666
09:00,,0.0,0.0,2.6666666666666665,2.666666666666667
09:30,,0.0,0.0,1.0,18.666666666666664
10:00,,0.0,0.0,0.3333333333333333,1.0
10:30,,0.0,0.0,0.0,1.0
11:00,,0.0,0.0,0.0,0.6666666666666666
11:30,,0.0,0.0,0.0,0.0
12:00,,0.0,0.0,0.0,0.0
12:30,,0.0,0.0,0.0,0.0
13:00,,0.0,0.0,0.0,0.0
13:30,,0.0,0.0,1.0,0.6666666666666666
14:00,,0.0,0.0,1.0,1.0
14:30,,0.0,0.0,1.0,1.0
15:00,,0.0,0.0,1.0,1.0
15:30,,0.0,0.0,1.0,1.0
16:00,,0.0,0.3333333333333333,1.0,1.0
16:30,,0.3333333333333333,1.0,1.0,1.0
17:00,,1.0,1.0,1.0,1.0
17:30,,1.0,1.0,1.0,1.0
18:00,,1.0,1.0,1.0,0.3333333333333333
18:30,,1.0,1.0,1.0,
19:00,,1.0,1.0,1.0,
19:30,,1.0,1.0,1.0,
20:00,,1.0,1.0,1.0,
20:30,0.3333333333333333,1.0,1.0,1.0,
21:00,1.0,1.0,1.0,1.0,
21:30,1.0,1.0,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,
