date_and_time_UTC,num_of_detections,LFnum_of_detections,HFnum_of_detections
2025-02-24 17:50:00+00:00,12.0,8.0,4.0
2025-02-24 18:00:00+00:00,28.0,8.0,20.0
2025-02-24 18:10:00+00:00,38.0,4.0,34.0
2025-02-24 18:20:00+00:00,12.0,4.0,8.0
2025-02-24 18:30:00+00:00,4.0,0.3333333333333333,4.0
2025-02-24 18:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 18:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 19:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 19:10:00+00:00,16.0,12.0,4.0
2025-02-24 19:20:00+00:00,8.0,4.0,4.0
2025-02-24 19:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 19:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 19:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 20:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 20:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 20:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 20:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 20:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 20:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 21:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 21:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 21:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 21:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 21:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 21:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 22:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 22:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 22:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 22:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 22:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 22:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 23:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 23:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 23:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 23:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 23:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-24 23:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 00:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 00:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 00:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 00:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 00:50:00+00:00,2.0,2.0,0.3333333333333333
2025-02-25 01:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 01:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 01:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 01:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 01:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 01:50:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 02:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 02:10:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 02:20:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 02:30:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-02-25 02:40:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333
