Time (UTC),02/10/25,02/11/25,02/12/25,02/13/25,02/14/25,02/15/25,02/16/25
00:00,,1.0,1.0,1.0,8.666666666666666,1.0,2.6666666666666665
00:30,,1.0,1.0,1.0,2.6666666666666665,1.0,1.0
01:00,,1.0,1.0,1.0,4.666666666666667,1.0,1.0
01:30,,1.0,1.0,1.0,4.666666666666667,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0,68.66666666666667
02:30,,1.0,1.0,20.666666666666664,1.0,1.0,1.0
03:00,,1.0,1.0,38.666666666666664,1.0,1.0,266.6666666666667
03:30,,1.0,1.0,1.0,1.0,1.0,1.0
04:00,,1.0,1.0,1.0,1.0,6.666666666666667,1.0
04:30,,1.0,1.0,1.0,1.0,1.0,2.666666666666667
05:00,,1.0,1.0,1.0,26.666666666666664,1.0,1.0
05:30,,1.0,1.0,1.0,1.0,1.0,1.0
06:00,,1.0,1.0,1.0,1.0,80.66666666666667,1.0
06:30,,1.0,1.0,1.0,1.0,1.0,2.6666666666666665
07:00,,1.0,1.0,1.0,1.0,1.0,1.0
07:30,,1.0,1.0,1.0,2.6666666666666665,1.0,2.6666666666666665
08:00,,1.0,1.0,1.0,1.0,1.0,1.0
08:30,,1.0,1.0,1.0,1.0,46.66666666666667,1.0
09:00,,1.0,1.0,1.0,38.333333333333336,1.0,1.0
09:30,,1.0,1.0,1.0,1.0,1.0,1.0
10:00,,1.0,1.0,1.0,1.0,1.0,1.0
10:30,,1.0,1.0,1.0,1.0,1.0,1.0
11:00,,1.0,1.0,1.0,1.0,1.0,1.0
11:30,,1.0,1.0,1.0,1.0,1.0,1.0
12:00,,1.0,1.0,1.0,1.0,1.0,1.0
12:30,,1.0,1.0,1.0,1.0,1.0,1.0
13:00,,1.0,1.0,1.0,1.0,1.0,1.0
13:30,,1.0,1.0,1.0,1.0,1.0,1.0
14:00,,1.0,1.0,1.0,1.0,1.0,1.0
14:30,,4.666666666666667,1.0,2.6666666666666665,1.0,16.666666666666668,2.6666666666666665
15:00,,1.0,12.333333333333332,2.666666666666667,1.0,2.6666666666666665,16.0
15:30,,8.666666666666668,14.0,1.0,1.0,2.666666666666667,2.6666666666666665
16:00,,4.666666666666667,8.333333333333334,1.0,1.0,6.333333333333334,0.6666666666666666
16:30,,8.666666666666666,10.333333333333332,1.0,1.0,1.0,1.0
17:00,,1.0,1.0,1.0,1.0,1.0,10.666666666666668
17:30,,1.0,8.333333333333332,1.0,1.0,12.0,1.0
18:00,20.0,6.666666666666667,2.6666666666666665,2.6666666666666665,1.0,2.6666666666666665,1.0
18:30,80.0,4.666666666666667,1.0,1.0,1.0,2.6666666666666665,10.333333333333334
19:00,0.6666666666666666,12.666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333
19:30,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,
20:00,1.0,1.0,1.0,1.0,1.0,1.0,
20:30,1.0,2.6666666666666665,1.0,2.6666666666666665,1.0,1.0,
21:00,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,
21:30,1.0,1.0,2.666666666666667,1.0,1.0,1.0,
22:00,1.0,1.0,2.6666666666666665,1.0,1.0,1.0,
22:30,1.0,2.6666666666666665,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,2.6666666666666665,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,12.666666666666668,1.0,
