Time (UTC),06/13/25,06/14/25,06/15/25,06/16/25,06/17/25,06/18/25,06/19/25
00:00,,0.0,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.5555555555555556,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0,0.0
03:00,,0.0,0.0,0.0,0.0,0.0,0.0
03:30,,0.0,0.0,0.0,0.0,0.0,0.0
04:00,,0.0,0.0,0.0,0.0,0.5555555555555556,0.0
04:30,,5.0,0.0,0.0,0.0,0.0,0.0
05:00,,1.6666666666666667,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,13.333333333333334
05:30,,4.444444444444445,0.0,0.0,0.0,0.5555555555555556,0.0
06:00,,1.111111111111111,0.0,0.0,0.5555555555555556,0.5555555555555556,1.111111111111111
06:30,,0.0,0.0,1.111111111111111,1.111111111111111,0.5555555555555556,0.0
07:00,,1.111111111111111,0.0,0.0,0.0,0.0,0.0
07:30,,2.7777777777777772,0.0,0.5555555555555556,0.0,0.0,0.5555555555555556
08:00,,0.0,0.0,0.0,0.0,1.6666666666666667,0.0
08:30,,1.111111111111111,1.6666666666666667,0.0,1.111111111111111,5.5555555555555545,0.0
09:00,,0.0,1.111111111111111,1.111111111111111,1.111111111111111,0.5555555555555556,0.0
09:30,,0.0,0.0,0.0,0.0,1.111111111111111,0.0
10:00,,1.111111111111111,1.6666666666666667,0.0,0.0,0.0,0.0
10:30,,0.0,2.2222222222222223,0.0,1.111111111111111,0.0,0.0
11:00,,0.0,0.0,0.0,0.0,0.5555555555555556,1.111111111111111
11:30,,0.0,0.0,0.0,0.0,0.0,0.0
12:00,,0.0,0.0,0.0,0.0,0.0,0.0
12:30,,0.0,0.0,0.0,0.0,0.0,0.0
13:00,,0.0,0.0,0.0,0.0,0.0,0.0
13:30,,0.0,0.0,0.0,0.0,0.0,0.0
14:00,,0.0,0.0,0.0,0.0,0.0,0.0
14:30,,0.0,0.0,0.0,0.0,0.0,0.0
15:00,,0.0,0.0,0.0,0.0,0.0,0.0
15:30,,0.0,0.0,0.0,0.0,0.0,0.0
16:00,,0.0,0.0,0.0,0.0,0.0,0.0
16:30,,0.0,0.5555555555555556,0.0,0.0,0.0,0.0
17:00,,0.0,0.0,0.0,0.0,0.0,0.0
17:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:00,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
18:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:30,0.0,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,0.0,
