Time (UTC),02/12/24,02/13/24,02/14/24,02/15/24,02/16/24,02/17/24,02/18/24,02/19/24,02/20/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,6.666666666666667,1.0,1.0,1.0,1.0,1.0
02:00,,18.333333333333336,20.666666666666664,1.0,4.666666666666667,2.6666666666666665,22.0,10.333333333333334,12.0
02:30,,14.0,12.666666666666666,2.6666666666666665,1.0,2.6666666666666665,1.0,4.666666666666667,2.6666666666666665
03:00,,10.333333333333334,2.666666666666667,2.666666666666667,1.0,2.6666666666666665,14.333333333333334,6.333333333333334,30.0
03:30,,4.666666666666667,2.6666666666666665,1.0,1.0,1.0,36.0,8.333333333333334,1.0
04:00,,1.0,2.6666666666666665,1.0,1.0,1.0,10.0,28.333333333333336,1.0
04:30,,1.0,12.333333333333334,1.0,1.0,4.666666666666667,30.0,6.333333333333333,1.0
05:00,,1.0,10.666666666666666,1.0,1.0,10.333333333333334,16.0,6.333333333333334,1.0
05:30,,4.666666666666667,6.666666666666667,1.0,1.0,38.0,10.0,16.0,1.0
06:00,,1.0,1.0,1.0,1.0,6.0,6.333333333333334,44.0,1.0
06:30,,1.0,1.0,1.0,1.0,2.666666666666667,10.0,22.0,1.0
07:00,,2.666666666666667,1.0,1.0,1.0,1.0,22.0,50.0,1.0
07:30,,8.333333333333334,1.0,1.0,1.0,1.0,6.333333333333334,42.0,1.0
08:00,,6.666666666666667,1.0,1.0,1.0,1.0,1.0,22.0,1.0
08:30,,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,34.0,1.0
09:00,,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0
09:30,,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,12.333333333333334,1.0
10:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10:30,,1.0,1.0,1.0,1.0,1.0,1.0,4.666666666666667,1.0
11:00,,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.3333333333333333
11:30,,1.0,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,
12:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
12:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
13:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:30,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:00,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
