Time (UTC),06/17/23,06/18/23,06/19/23,06/20/23,06/21/23,06/22/23
00:00,,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0,0.0
03:00,0.0,0.0,0.0,0.0,0.0,1.0
03:30,0.0,0.0,0.0,0.0,0.0,1.0
04:00,0.0,0.0,0.0,0.0,0.0,1.0
04:30,0.0,0.0,0.0,0.0,0.0,27.0
05:00,0.0,0.0,0.0,0.0,0.0,35.0
05:30,0.0,0.0,0.0,0.0,0.0,9.0
06:00,0.0,0.0,0.0,0.0,0.0,7.0
06:30,0.0,0.0,0.0,0.0,0.0,1.0
07:00,0.0,0.0,0.0,0.0,0.0,9.0
07:30,0.0,0.0,0.0,0.0,0.0,1.0
08:00,0.0,0.0,0.0,0.0,0.0,11.0
08:30,0.0,0.0,0.0,0.0,0.0,5.0
09:00,0.0,0.0,0.0,0.0,0.0,98.0
09:30,0.0,0.0,0.0,0.0,0.0,24.0
10:00,0.0,0.0,0.0,0.0,0.0,2.0
10:30,0.0,0.0,0.0,0.0,0.0,0.0
11:00,0.0,0.0,0.0,0.0,0.0,0.0
11:30,0.0,0.0,0.0,0.0,0.0,0.0
12:00,0.0,0.0,0.0,0.0,0.0,0.0
12:30,0.0,0.0,0.0,0.0,0.0,0.0
13:00,0.0,0.0,0.0,0.0,0.0,0.0
13:30,0.0,0.0,0.0,0.0,0.0,
14:00,0.0,0.0,0.0,0.0,0.0,
14:30,0.0,0.0,0.0,0.0,0.0,
15:00,0.0,0.0,0.0,0.0,0.0,
15:30,0.0,0.0,0.0,0.0,0.0,
16:00,0.0,0.0,0.0,0.0,0.0,
16:30,0.0,0.0,0.0,0.0,0.0,
17:00,0.0,0.0,0.0,0.0,0.0,
17:30,0.0,0.0,0.0,0.0,0.0,
18:00,0.0,0.0,0.0,0.0,0.0,
18:30,0.0,0.0,0.0,0.0,0.0,
19:00,0.0,0.0,0.0,0.0,0.0,
19:30,0.0,0.0,0.0,0.0,0.0,
20:00,0.0,0.0,0.0,0.0,0.0,
20:30,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,
