Time (UTC),07/11/24,07/12/24,07/13/24,07/14/24,07/15/24,07/16/24,07/17/24,07/18/24,07/19/24
00:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
00:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
01:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
02:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
04:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
04:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
05:00,,1.0,1.0,1.0,1.0,54.666666666666664,1.0,1.0,4.666666666666667
05:30,,1.0,6.666666666666667,2.6666666666666665,166.66666666666669,1.0,1.0,1.0,68.33333333333333
06:00,,1.0,1.0,1.0,1.0,1.0,1.0,208.33333333333334,1.0
06:30,,1.0,1.0,1.0,1.0,1.0,62.66666666666667,1.0,6.666666666666666
07:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
07:30,,6.666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,12.666666666666666
08:00,,1.0,1.0,1.0,1.0,2.6666666666666665,1.0,12.666666666666668,32.666666666666664
08:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.666666666666666
09:00,,1.0,1.0,1.0,1.0,40.66666666666667,1.0,8.666666666666668,4.666666666666667
09:30,,1.0,1.0,1.0,1.0,22.666666666666664,1.0,20.666666666666668,10.666666666666666
10:00,,1.0,1.0,1.0,1.0,1.0,1.0,2654.3333333333335,4.666666666666667
10:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.666666666666667
11:00,,1.0,1.0,1.0,1.0,1.0,4.666666666666667,1.0,100.66666666666667
11:30,,1.0,1.0,1.0,1.0,1.0,1.0,54.666666666666664,1.0
12:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
17:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22:30,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:00,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23:30,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
